,NS,surface_total_in_m2,rooms,price
20,23,300.0,5.0,185000.0
45,35,152.0,4.0,160000.0
99,18,158.0,4.0,210000.0
142,35,60.0,2.0,80000.0
169,19,84.0,3.0,138000.0
262,43,143.0,3.0,220000.0
307,46,90.0,4.0,175000.0
314,27,94.0,4.0,190000.0
593,46,65.0,2.0,164000.0
626,11,216.0,5.0,360000.0
693,30,70.0,3.0,78000.0
794,56,34.0,2.0,870000.0
952,34,76.0,3.0,175900.0
964,19,89.0,3.0,160000.0
965,49,55.0,2.0,97000.0
1056,27,32.0,1.0,72000.0
1165,13,320.0,5.0,220000.0
1166,13,110.0,3.0,120000.0
1217,19,45.0,2.0,110000.0
1218,19,114.0,4.0,130000.0
1311,56,145.0,2.0,340000.0
1312,56,112.0,4.0,340000.0
1313,19,48.0,3.0,99000.0
1314,54,50.0,2.0,174700.0
1315,35,53.0,2.0,2300000.0
1316,35,49.0,1.0,1641000.0
1317,9,38.0,1.0,86200.0
1318,12,65.0,3.0,130000.0
1319,12,65.0,3.0,145000.0
1384,28,111.0,3.0,145000.0
1422,53,232.0,5.0,445000.0
1423,54,232.0,5.0,445000.0
1424,54,232.0,5.0,445000.0
1425,53,232.0,5.0,445000.0
1443,16,120.0,5.0,250000.0
1448,52,25.0,1.0,85000.0
1558,56,210.0,6.0,820000.0
1727,53,674.0,7.0,990000.0
1760,41,38.0,2.0,83000.0
1897,15,62.0,2.0,99000.0
1898,15,53.0,2.0,94000.0
2087,23,125.0,3.0,82000.0
2088,23,88.0,3.0,89000.0
2108,35,49.0,1.0,75000.0
2109,56,51.0,2.0,165000.0
2131,7,45.0,1.0,99000.0
2132,27,34.0,1.0,69000.0
2193,7,72.0,1.0,1900000.0
2273,16,23.0,1.0,52000.0
2278,53,78.0,3.0,153000.0
2308,4,86.0,3.0,140000.0
2309,4,63.0,3.0,99000.0
2312,4,73.0,5.0,110000.0
2313,4,70.0,3.0,140000.0
2314,4,330.0,7.0,140000.0
2316,4,232.0,5.0,200000.0
2317,4,52.0,2.0,60000.0
2500,9,40.0,2.0,65000.0
2504,34,42.0,2.0,122000.0
2511,16,23.0,1.0,52000.0
2512,43,70.0,3.0,125000.0
2521,46,65.0,2.0,164000.0
2583,53,42.0,1.0,104066.0
2584,53,78.0,2.0,168063.0
2585,53,165.0,4.0,427392.0
2722,10,83.0,3.0,110000.0
2724,34,73.0,3.0,150000.0
2725,6,40.0,2.0,70000.0
2727,7,144.0,5.0,210000.0
2731,11,57.0,3.0,130000.0
2737,23,188.0,5.0,140000.0
2738,23,188.0,5.0,140000.0
2739,53,60.0,3.0,160000.0
2769,39,64.0,3.0,125000.0
2785,27,28.0,1.0,82000.0
2786,27,37.0,1.0,75000.0
2789,34,110.0,2.0,159000.0
2815,6,65.0,2.0,119000.0
2816,39,77.0,4.0,150000.0
2817,6,213.0,5.0,240000.0
2818,6,82.0,3.0,145000.0
2819,34,160.0,4.0,340000.0
2820,32,109.0,4.0,255000.0
2821,11,185.0,5.0,300000.0
2822,6,170.0,7.0,250000.0
2823,39,121.0,4.0,150000.0
2844,56,34.0,1.0,92000.0
3642,2,337.0,6.0,230000.0
3647,54,38.0,1.0,1716200.0
3694,11,132.0,4.0,110000.0
3704,26,68.0,3.0,124000.0
3706,54,250.0,4.0,280000.0
3720,25,51.0,1.0,120000.0
3723,60,178.0,3.0,1400000.0
3724,32,53.0,2.0,117700.0
3737,56,210.0,5.0,410000.0
3738,46,53.0,2.0,565000.0
3739,46,49.0,2.0,560000.0
3740,46,49.0,2.0,580000.0
3741,46,49.0,2.0,580000.0
3742,46,49.0,2.0,615000.0
3743,46,42.0,2.0,440000.0
3744,46,47.0,2.0,640000.0
3745,46,63.0,1.0,704000.0
3746,46,38.0,2.0,385000.0
3747,54,35.0,1.0,418000.0
3748,54,48.0,1.0,94800.0
3749,54,65.0,3.0,138000.0
3752,46,57.0,2.0,95000.0
3753,19,65.0,3.0,95000.0
3755,2,94.0,3.0,83000.0
3756,2,50.0,1.0,35000.0
3757,2,56.0,3.0,55000.0
3758,2,65.0,3.0,64500.0
3759,24,80.0,4.0,145000.0
3761,5,56.0,2.0,85000.0
3762,2,75.0,3.0,75000.0
3763,39,150.0,4.0,120000.0
3764,27,85.0,4.0,98000.0
3765,51,45.0,2.0,75000.0
3766,14,40.0,2.0,75000.0
3767,16,57.0,2.0,75000.0
3768,39,82.0,3.0,120000.0
3769,18,60.0,3.0,115000.0
3770,27,85.0,4.0,98000.0
3771,9,106.0,4.0,135000.0
3772,13,65.0,2.0,129500.0
3773,41,64.0,2.0,96500.0
3774,46,85.0,3.0,167000.0
3775,41,47.0,2.0,91500.0
3776,39,100.0,4.0,199500.0
3777,39,150.0,4.0,120000.0
3778,41,46.0,2.0,99000.0
3779,41,54.0,2.0,112000.0
3780,5,44.0,2.0,95000.0
3781,20,40.0,2.0,98000.0
3782,2,274.0,5.0,350000.0
3783,36,67.0,3.0,64000.0
3784,53,80.0,3.0,175000.0
3785,13,36.0,2.0,84000.0
3892,53,960.0,7.0,1880000.0
3921,54,133.0,4.0,655000.0
3922,54,158.0,4.0,810000.0
3923,54,133.0,4.0,635000.0
3937,12,65.0,3.0,157000.0
3938,12,38.0,1.0,98000.0
3939,12,39.0,1.0,97000.0
3940,12,65.0,3.0,171000.0
3941,12,65.0,3.0,182000.0
3999,9,55.0,3.0,102000.0
4001,6,138.0,4.0,300000.0
4028,56,237.0,6.0,910000.0
4092,14,92.0,4.0,185000.0
4100,32,225.0,5.0,295000.0
4103,32,330.0,6.0,450000.0
4120,54,110.0,2.0,159000.0
4243,49,125.0,4.0,380000.0
4487,13,77.0,3.0,150000.0
