NS,surface_total_in_m2,rooms,price
23,300.0,5.0,185000.0
35,152.0,4.0,160000.0
18,158.0,4.0,210000.0
35,60.0,2.0,80000.0
19,84.0,3.0,138000.0
43,143.0,3.0,220000.0
46,90.0,4.0,175000.0
27,94.0,4.0,190000.0
46,65.0,2.0,164000.0
11,216.0,5.0,360000.0
30,70.0,3.0,78000.0
56,34.0,2.0,870000.0
34,76.0,3.0,175900.0
19,89.0,3.0,160000.0
49,55.0,2.0,97000.0
27,32.0,1.0,72000.0
13,320.0,5.0,220000.0
13,110.0,3.0,120000.0
19,45.0,2.0,110000.0
19,114.0,4.0,130000.0
56,145.0,2.0,340000.0
56,112.0,4.0,340000.0
19,48.0,3.0,99000.0
54,50.0,2.0,174700.0
35,53.0,2.0,2300000.0
35,49.0,1.0,1641000.0
9,38.0,1.0,86200.0
12,65.0,3.0,130000.0
12,65.0,3.0,145000.0
28,111.0,3.0,145000.0
53,232.0,5.0,445000.0
54,232.0,5.0,445000.0
54,232.0,5.0,445000.0
53,232.0,5.0,445000.0
16,120.0,5.0,250000.0
52,25.0,1.0,85000.0
56,210.0,6.0,820000.0
53,674.0,7.0,990000.0
41,38.0,2.0,83000.0
15,62.0,2.0,99000.0
15,53.0,2.0,94000.0
23,125.0,3.0,82000.0
23,88.0,3.0,89000.0
35,49.0,1.0,75000.0
56,51.0,2.0,165000.0
7,45.0,1.0,99000.0
27,34.0,1.0,69000.0
7,72.0,1.0,1900000.0
16,23.0,1.0,52000.0
53,78.0,3.0,153000.0
4,86.0,3.0,140000.0
4,63.0,3.0,99000.0
4,73.0,5.0,110000.0
4,70.0,3.0,140000.0
4,330.0,7.0,140000.0
4,232.0,5.0,200000.0
4,52.0,2.0,60000.0
9,40.0,2.0,65000.0
34,42.0,2.0,122000.0
16,23.0,1.0,52000.0
43,70.0,3.0,125000.0
46,65.0,2.0,164000.0
53,42.0,1.0,104066.0
53,78.0,2.0,168063.0
53,165.0,4.0,427392.0
10,83.0,3.0,110000.0
34,73.0,3.0,150000.0
6,40.0,2.0,70000.0
7,144.0,5.0,210000.0
11,57.0,3.0,130000.0
23,188.0,5.0,140000.0
23,188.0,5.0,140000.0
53,60.0,3.0,160000.0
